Game,Score,Annealing Time,Fitness Score
942,4,0.044096,0.000161
943,8,4.83571,0.000232
944,19,3.93292,3.8e-005
945,22,6.41345,0.00025
946,13,3.91181,1.9e-005
947,9,4.70768,7.5e-005
948,14,8.63985,4.7e-005
949,21,3.28868,5.5e-005
950,5,0.0486,0.000115
951,58,24.6151,0.000128
952,29,9.00544,0.000131
953,9,1.92036,0.000188
954,16,8.22042,0.000508
955,11,0.172036,5e-006
956,5,0.074089,0.000359
957,9,1.42674,3.4e-005
958,23,4.23023,0.000192
959,26,4.0664,1.9e-005
960,9,3.73612,9.9e-005
961,10,5.64392,2.9e-005
962,6,0.09251,0.000128
963,38,12.5145,0.000481
964,19,7.55979,0.000163
965,9,2.00994,0.000109
966,10,0.127684,3.1e-005
967,10,0.179214,0.000392
968,32,13.9222,2.7e-005
969,16,2.77856,3.4e-005
970,6,0.720225,8.4e-005
971,16,1.46009,0.000244
972,5,0.07578,0.00035
973,7,0.120688,0.00032
974,7,0.068514,9.5e-005
975,25,7.87181,7.9e-005
976,12,7.45958,5e-005
977,29,8.74234,5.8e-005
978,21,6.95447,0.000119
979,9,0.109683,6.6e-005
980,17,12.3745,3.1e-005
981,27,11.8994,7.2e-005
982,13,3.08664,0.000164
983,14,5.13566,0.000101
984,8,0.071953,4.2e-005
985,16,0.278838,4.5e-005
986,12,2.12876,0.000127
987,16,7.43754,0.000386
988,10,6.59739,6.8e-005
989,30,6.3664,0.000256
990,9,2.63244,8e-005
991,15,4.85958,5e-005
992,10,6.32926,0.000143
993,13,1.38254,1.5e-005
994,16,3.89485,5.6e-005
995,10,0.113038,3.4e-005
996,19,8.93606,8.9e-005
997,23,18.3719,3.1e-005
998,25,6.08922,0.000326
999,10,3.37109,3.4e-005
1000,4,0.036597,0.000283
