Game,Score,Annealing Time,Fitness Score
218,40,14.3603,0.000128
219,5,1.41814,0.000242
220,17,12.1009,1.8e-005
221,11,0.153304,5.4e-005
222,22,8.40676,0.000169
223,3,0.029148,0.000484
224,19,1.61186,5.7e-005
225,8,0.105766,6.9e-005
226,30,18.0085,1.7e-005
227,6,5.54177,0.00012
228,20,5.85339,0.000262
229,21,0.346158,3.8e-005
230,21,9.04159,5.1e-005
231,13,8.34344,3.8e-005
232,33,20.8531,9e-005
233,26,9.2425,0.000168
234,5,0.050087,0.001453
235,8,0.129265,3.3e-005
236,12,2.56605,0.000201
237,12,2.29369,7e-006
238,20,2.95765,3.7e-005
239,22,14.5637,5e-005
240,14,5.55723,0.00013
241,8,2.09419,0.000193
242,10,9.82015,0.000149
243,10,4.78801,5.5e-005
244,7,0.104915,0.000392
245,15,0.178412,8.3e-005
246,11,1.44741,4e-005
247,8,0.154557,0.000152
248,12,0.171289,4e-005
249,36,8.08279,0.000109
250,17,3.77901,0.000101
251,30,17.4341,0.00014
252,5,1.33928,0.000241
253,19,6.97984,3.6e-005
254,6,0.087732,3.4e-005
255,21,16.0999,2.6e-005
256,13,0.189965,0.000283
257,24,10.5873,0.000427
258,11,5.15155,0.00013
259,18,12.9436,2.2e-005
260,6,0.091063,0.000218
261,11,10.3319,0.000154
262,9,0.781301,0.00053
263,6,2.13792,2.8e-005
264,7,0.071503,0.000176
265,14,1.46013,4.4e-005
266,17,8.55124,7e-005
267,5,0.750815,0.000169
268,19,0.361902,0.00013
269,30,13.6933,1.2e-005
270,7,1.47512,7.8e-005
271,8,0.130289,4.4e-005
272,6,1.33782,0.000133
273,13,3.47371,0.000427
274,9,0.139296,0.000338
275,7,1.43675,8.6e-005
276,8,0.234749,4.8e-005
277,13,9.16095,8.5e-005
278,5,4.9205,9.2e-005
279,19,2.92692,0.000191
280,7,0.076051,0.000853
281,13,0.614861,5e-006
282,8,5.22548,3.5e-005
283,28,5.87844,0.000294
284,22,16.8442,0.000303
285,6,0.150072,6e-005
286,9,1.58072,4.4e-005
287,11,2.27829,7.2e-005
288,10,0.152626,0.000186
289,10,3.38733,9.3e-005
290,10,0.138589,5.9e-005
291,7,2.16836,0.000124
292,9,0.105307,7.1e-005
293,8,2.0799,4.8e-005
294,12,0.161894,7.3e-005
295,8,0.090482,0.000237
296,13,0.187883,9.9e-005
297,16,2.31083,0.000124
298,13,0.207573,0.000311
299,25,5.62928,8.8e-005
300,12,0.180653,0.000162
301,10,0.154574,0.000131
302,18,11.1857,0.000241
303,6,0.061599,6.6e-005
304,20,17.615,0.000127
305,20,4.0417,3.3e-005
306,14,1.49036,0.000117
307,10,0.104383,5.6e-005
308,9,6.26673,7.3e-005
309,16,0.59163,2.7e-005
310,9,3.93203,0.000109
311,24,9.42532,0.000262
312,33,11.508,6.5e-005
313,4,0.110728,0.000184
314,8,0.096928,0.000418
315,11,0.532108,4.1e-005
316,14,4.10985,2e-006
317,21,5.25898,0.000813
318,34,20.7835,3e-006
319,18,1.67815,7.7e-005
320,10,0.188542,5.7e-005
321,14,0.95118,0.000137
322,6,0.074726,0.000232
323,15,0.259325,9.1e-005
324,7,2.76332,0.000183
325,9,0.162762,0.000109
326,6,0.064635,0.00028
327,27,4.22004,0.000687
328,42,23.3743,1.8e-005
329,11,0.135513,0.000434
330,19,4.14256,0.000127
331,6,0.073389,6.6e-005
332,32,4.99828,8e-005
333,2,0.013688,0.000798
334,27,21.0676,0.000257
335,18,8.23493,0.000118
336,10,3.86894,0.000108
337,16,2.22865,1.8e-005
338,8,0.122892,0.000361
339,13,0.25005,0.000142
340,14,0.228636,0.000246
341,17,11.9028,3.6e-005
342,11,2.64281,0.000248
343,24,7.32556,6e-006
344,5,0.050037,0.000219
345,11,6.49353,4.1e-005
346,5,4.82936,6.4e-005
347,12,0.13779,0.000549
348,15,1.50541,0.00011
349,23,4.86749,6.1e-005
350,7,0.074427,0.000135
351,7,0.095484,0.000128
352,10,0.138399,0.000123
353,16,4.17939,0.000141
354,37,20.0582,0.000138
355,13,0.202413,0.000142
356,9,2.32377,0.00017
357,22,3.84204,0.0005
358,22,15.3052,1.2e-005
359,7,0.116565,6.6e-005
360,5,0.06093,0.000113
361,17,3.12325,9.6e-005
362,25,5.09214,7.8e-005
363,20,10.5304,0.000225
364,10,1.47451,0.000323
365,4,0.075952,0.000337
366,17,6.8776,0.000244
367,13,4.21229,0.000189
368,10,1.46012,0.000216
369,11,3.84269,0.000141
370,20,9.16805,0.000184
371,34,20.1771,7e-005
372,13,0.191989,0.000146
373,6,0.075001,9.9e-005
374,6,0.11385,8.6e-005
375,7,1.40346,0.000134
376,17,0.278332,7.1e-005
377,8,8.33494,0.000123
378,10,6.92359,0.000153
